Seq,DateListed,Ethnic,Name,AlsoKnownAs,NativeName,Year,KeyDay,When,Duration
1,20180418,阿美族,豐年祭,收穫祭,,107,,每年,7月1日至9月30日期間，依實際舉辦日期擇一日放假
2,20180418,泰雅族,感恩節,,Ryax Smqas Hnuway Utux Kayal,107,,每年,8月最後一週的星期五
3,20180418,排灣族,豐年祭,收穫祭,Masalut,107,,每年,7月1日至8月31日期間，依實際舉辦日期擇一日放假
4,20180418,布農族,射耳祭,,Malahtangia,107,,每年,5月第2週星期五
5,20180418,卑南族,年祭,,‘Amiyan,107,,每年,12月15日至1月5日期間，依實際舉辦日期擇一日放假
6,20180418,鄒族,戰祭 ,,Mayasvi ,107,,每年,2月1日至4月30日期間，依實際舉辦日期擇一日放假
7,20110222,拉阿魯哇族,聖貝祭 ,,Miatungusu,100,100/3/1,每年,2月20日至3月10日期間，依實際舉辦日期擇一日放假
8,20180418,卡那卡那富族,米貢祭,,Mikong,107,,每年,10月1日至10月31日期間，依實際舉辦日期擇一日放假
9,20180418,魯凱族,小米祭,,Kalabecengne,107,,每年,7月1日至8月31日期間，依實際舉辦日期擇一日放假
10,20180418,賽夏族,矮靈祭,巴斯達隘,,107,,奇數年,
11,20180418,雅美族/達悟族,收穫祭 ,,Mapasamoran so piyafean,107,,每年,5月1日至6月30日期間，依雅美族/達悟族夜曆好月節舉辦日期擇1日放假。
12,20180418,邵族,祖靈祭,,Lusan,107,,每年,
13,20180418,噶瑪蘭族,豐年祭 ,,Qataban,107,,每年,7月10日至8月31日期間，依實際舉辦日期擇1日放假
14,20180418,太魯閣族,感恩節,,Mgay Bari,107,,每年,10月15日
15,20180418,撒奇萊雅族,火神祭,,Palamal,107,,每年,
16,20180418,賽德克族,收穫節 ,,Qlasan Tninun / Smesung Kmetuy,107,,每年,12月31日
17,20180418,阿美族,豐年祭,收穫祭,,107,,每年,7月1日至9月30日期間，依實際舉辦日期擇1日放假
18,20180418,泰雅族,感恩節,,Ryax Smqas Hnuway Utux Kayal,107,,每年,
19,20180418,排灣族,豐年祭,收穫祭,Masalut,107,,每年,7月1日至8月31日，依實際舉辦日期擇1日放假
20,20180418,布農族,射耳祭,,Malahtangia,107,,每年,
21,20210714,阿美族,豐年祭,收穫祭,1.Malalikit ；2.Malikoda ；3.Ilisin ；4.Kiloma'an,102,於日期確定後另行公告,每年,7月1日至9月30日期間，依各部落實際舉辦日期擇一日，並於日期確定後另行公告。
22,20210714,泰雅族,感恩節 ,,Ryax Smqas Hnuway Utux Kayal,102,102/8/30,每年,8月最後一個星期五
23,20210714,排灣族,豐年祭,收穫祭,Masalut,102,102/8/15,每年,8月15日
24,20210714,布農族,射耳祭 ,,Malahtangia,102,102/5/10,每年,5月第2週星期五
25,20210714,卑南族,年祭 ,,‘Amiyan,102,102/12/31,每年,12月31日
26,20210714,鄒族,戰祭,,Mayasvi ,102,特富野:102/2/23； 達邦102/2/15,每年,特富野：2月1日至4月30日期間，依實際舉辦日期擇一日，並於日期確定後公告。達邦：7月1日至8月31日期間，依實際舉辦日期擇一日，並於日期確定後另行公告(因今年修建庫巴擬提前辦理) 。
27,20210714,鄒族,貝神祭 ,,Miatungusu,102,102/3/1,每年,拉阿魯阿族；3月1日
28,20210714,鄒族,米貢祭,,Mikong,102,102/10/11,每年,卡那卡那富族；10月1日至10月31日期間，依實際舉辦日期擇一日，並於日期確定後另行公告
29,20210714,魯凱族,小米祭,,Kalabecengne,102,102/7/12,每年,7月第2個星期五
30,20210714,賽夏族,巴斯達隘,矮靈祭,pasta'ay ,102,於日期確定後另行公告 ,奇數年,農曆10月中旬，依實際舉辦日期擇一日，並於日期確定後另行公告。
31,20210714,賽夏族,祈天祭,, 'Oemowaz ka kawas,102,於日期確定後另行公告,偶數年,農曆3月中旬，依實際取辦日期擇一日，並於日期確定後另行公告。
32,20210714,雅美族,收穫祭 ,,Mapasamoran so piyafean,102,102/6/7,每年,6月中旬，依實際舉辦日期擇一日，並於日期確定後另行公告。
33,20210714,邵族,祖靈祭 ,,Lusan,102,102/9/5,每年,農曆8月1日
34,20210714,噶瑪蘭族,豐年祭,,Qataban,102,於日期確定後另行公告,每年,7月10日至8月31日期間，依各部落實際舉辦日期擇一日，並於日期確定後另行公告。
35,20210714,太魯閣族,感恩節 ,,Mgay Bari,102,102/10/15,每年,10月15日
36,20210714,撒奇萊雅族,火神祭 ,,Palamal,102,102/10/4,每年,10月第1個星期五
37,20210714,賽德克族,收穫節,,Qlasan Tninun / Smesung Kmetuy,102,102/12/31,每年,12月31日
