年底別,性別,總計,0~4歲,5~9歲,10~14歲,15~19歲,20~24歲,25~29歲,30~34歲,35~39歲,40~44歲,45~49歲,50~54歲,55~59歲,60~64歲,65~69歲,70~74歲,75~79歲,80~84歲,85~89歲,90歲以上
96,總計,12544,785,1044,1260,1332,1052,1147,1128,1048,1084,974,695,475,224,154,71,44,20,4,3
96,男,5244,413,547,602,666,467,473,407,355,383,346,218,179,88,47,25,20,6,1,1
96,女,7300,372,497,658,666,585,674,721,693,701,628,477,296,136,107,46,24,14,3,2
97,總計,12862,829,1010,1274,1372,1101,1167,1143,1075,1047,1020,712,517,274,170,82,39,23,4,3
97,男,5352,424,521,615,669,495,499,415,372,375,366,209,189,98,56,27,16,5,-,1
97,女,7510,405,489,659,703,606,668,728,703,672,654,503,328,176,114,55,23,18,4,2
98,總計,13080,845,978,1296,1440,1134,1144,1141,1084,1047,992,765,557,316,169,101,42,23,4,2
98,男,5457,439,512,628,687,530,491,420,375,373,349,240,186,114,55,34,17,5,1,1
98,女,7623,406,466,668,753,604,653,721,709,674,643,525,371,202,114,67,25,18,3,1
99,總計,13745,891,991,1331,1495,1231,1136,1258,1126,1059,1023,860,622,353,175,113,45,24,9,3
99,男,5770,457,533,642,716,595,470,500,401,371,361,279,205,127,58,29,17,5,3,1
99,女,7975,434,458,689,779,636,666,758,725,688,662,581,417,226,117,84,28,19,6,2
100,總計,14340,963,952,1340,1573,1316,1133,1367,1203,1075,1053,896,659,416,181,125,53,22,10,3
100,男,6056,502,521,679,735,618,495,552,436,377,353,315,193,154,65,36,19,3,2,1
100,女,8284,461,431,661,838,698,638,815,767,698,700,581,466,262,116,89,34,19,8,2
101,總計,14817,1057,938,1266,1614,1379,1120,1476,1261,1083,1074,921,710,469,211,133,64,26,12,3
101,男,6289,549,502,666,735,669,484,613,473,387,373,328,203,163,76,37,20,8,2,1
101,女,8528,508,436,600,879,710,636,863,788,696,701,593,507,306,135,96,44,18,10,2
102,總計,15235,1146,961,1167,1603,1455,1140,1529,1332,1106,1048,972,749,503,261,142,73,32,12,4
102,男,6444,585,504,620,746,680,505,622,521,396,371,341,217,169,89,41,23,11,2,1
102,女,8791,561,457,547,857,775,635,907,811,710,677,631,532,334,172,101,50,21,10,3
103,總計,15581,1244,957,1090,1539,1523,1215,1491,1444,1128,1045,970,790,547,308,139,93,41,12,5
103,男,6588,631,510,585,719,706,543,623,570,399,385,333,234,164,99,44,29,11,1,2
103,女,8993,613,447,505,820,817,672,868,874,729,660,637,556,383,209,95,64,30,11,3
104,總計,15883,1272,930,1101,1524,1540,1253,1469,1514,1140,1044,963,859,615,336,146,107,45,20,5
104,男,6695,626,482,606,715,720,564,619,619,413,366,330,249,181,111,47,29,12,4,2
104,女,9188,646,448,495,809,820,689,850,895,727,678,633,610,434,225,99,78,33,16,3
105,總計,16181,1307,970,1071,1507,1564,1310,1423,1533,1205,1046,973,890,633,393,164,113,55,21,3
105,男,6820,631,494,588,742,722,590,605,625,440,364,326,280,177,131,57,31,14,3,-
105,女,9361,676,476,483,765,842,720,818,908,765,682,647,610,456,262,107,82,41,18,3
106,總計,16456,1330,1041,1051,1468,1567,1383,1346,1594,1243,1029,995,893,692,430,198,117,52,20,7
106,男,6927,659,515,564,746,703,648,557,645,458,371,337,293,178,137,66,32,13,5,-
106,女,9529,671,526,487,722,864,735,789,949,785,658,658,600,514,293,132,85,39,15,7
107,總計,16713,1375,1083,1073,1371,1526,1488,1333,1602,1304,1041,972,909,726,466,239,119,57,21,8
107,男,7049,676,520,579,713,693,678,555,657,502,378,338,300,185,149,76,30,13,7,-
107,女,9664,699,563,494,658,833,810,778,945,802,663,634,609,541,317,163,89,44,14,8
108,總計,16996,1393,1200,1088,1317,1438,1551,1362,1547,1372,1059,991,923,761,499,273,120,65,28,9
108,男,7205,694,576,582,699,656,704,573,659,535,383,348,307,203,150,81,33,18,4,-
108,女,9791,699,624,506,618,782,847,789,888,837,676,643,616,558,349,192,87,47,24,9
109,總計,17131,1335,1301,1088,1270,1429,1540,1387,1528,1409,1084,949,942,779,557,292,124,77,29,11
109,男,7278,666,627,571,694,654,705,594,652,564,391,331,303,208,165,90,36,19,7,1
109,女,9853,669,674,517,576,775,835,793,876,845,693,618,639,571,392,202,88,58,22,10
110,總計,17073,1228,1297,1082,1240,1393,1513,1406,1453,1454,1127,941,952,810,577,338,134,81,33,14
110,男,7311,630,617,561,675,678,678,621,622,595,409,339,299,242,168,106,41,21,8,1
110,女,9762,598,680,521,565,715,835,785,831,859,718,602,653,568,409,232,93,60,25,13
